,AUC,KS,PR_AUC,precision,recall,train_size,train_pos
无处理 (baseline),0.904,0.8232,0.7373,0.5545,0.8243,199364.0,344.0
类别权重 (scale_pos_weight),0.901,0.8258,0.347,0.1075,0.8378,199364.0,344.0
随机欠采样,0.9644,0.854,0.6704,0.0344,0.8784,688.0,344.0
随机过采样,0.9669,0.8664,0.7725,0.0449,0.8919,398040.0,199020.0
SMOTE 合成过采样,0.971,0.852,0.7805,0.0357,0.8784,398040.0,199020.0
